baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Manteo	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2014', u'60 days on Zillow', u'Views since listing: 3,382', u'All time views: 3,389', u'51 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $243,313', u'Last sale price/sqft: $146', u'MLS #: 93053', u'Attic', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Off street', u'Porch', u'Sprinkler System', u'Class:  Residential', u'Water: Municipal', u'Construction: Frame', u'Countertops: Quartz', u'Landscaped', u'Foundation: Piling', u'Heating: Central', u'Interior Features: 9ft Ceilings', u'Interior Features: Master Bath', u'Custom Window Treatments', u'Outdoor Shower', u'Upgraded Lighting', u'Upgraded Landscape', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Structure type: Contemporary', u'Floor size: 1,671 sqft', u'Zillow Home ID: 2098250222']	http://photos3.zillowstatic.com/p_e/ISifzc3jb4lt6k1000000000.jpg	243313.0	[]	1671.0	NC	240672.0	27954	2098250222
3.0	4	Manteo	"[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 2004', u'All time views: 2,264', u'HOA Fee: $8/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $430,000', u'Last sale price/sqft: $128', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, Off street, 3 spaces', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'OPTIONAL ROOMS: Game Room', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'CONSTRUCTION: Frame', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Some Windows Treated', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'PARKING: Off Street', u'ROADS: Public', u'Primary Residence (Y: Yes', u'EXTERIOR: Lap Siding', u'FOUNDATION: Masonry', u'OPTIONAL ROOMS: Utility Room', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'LOT DESCRIPTION: Corner', u'EXTRAS: Lawn Sprinklers', u'EXTRAS: Fenced Yard', u'GARAGE: 3 + Car', u'OPTIONAL ROOMS: Office', u'EXTRAS: Common Laundry Area', u'EXTRAS: Storage Shed', u'COUNTER TOPS: Silestone', u'EXTRAS: Attic Fan', u'Area: Manteo-N. of Airport Road', u'Subdivision: Brakewood', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Pool Type: Private', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Other, Wood products', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 3,350 sqft', u'Heating: Gas', u'Parcel #: 030001000', u'Zillow Home ID: 86669445']"	http://photos3.zillowstatic.com/p_e/ISh7p3friklpdc0000000000.jpg	430000.0	[]	3350.0	NC	405949.0	27954	86669445
2.0	3	Manteo	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2007', u'All time views: 2,335', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $219,600', u'Last sale price/sqft: $159', u'Ceiling Fan', u'Flooring: Hardwood', u'Parking: Garage - Attached', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Paved', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Garage Door Opener', u'EXTRAS: Outside Lighting', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Some Windows Treated', u'INTERIOR FEATURES: Washer Connection', u'OPTIONAL ROOMS: Workshop', u'Primary Residence (Y: Yes', u'FOUNDATION: Masonry', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'EXTRAS: Water Softener', u'FLOOR COVERINGS: Marble', u'EXTRAS: Common Laundry Area', u'EXTRAS: Storage Shed', u'Area: Manteo-S. of Airport Road', u'STYLE: Ranch', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Subdivision: First Colony Es', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,380 sqft', u'Laundry: In Unit', u'Parcel #: 028181109', u'Zillow Home ID: 86667179']	http://photos2.zillowstatic.com/p_e/ISph2zanwahi661000000000.jpg	219600.0	[]	1380.0	NC	261591.0	27954	86667179
1.0	2	Manteo	[u'Lot: 9,000 sqft', u'Single Family', u'Built in 1990', u'All time views: 5,733', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $158,000', u'Last sale price/sqft: $145', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Jetted Tub', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'GARAGE: None', u'HEATING: Central', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'Subdivision: None', u'SEWER: Private Septic', u'STYLE: Ranch', u'ROADS: Gravel', u'Area: Manteo-N. of Airport Road', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Freezer', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Other', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,092 sqft', u'Heating: Electric', u'Parcel #: 024211000', u'Zillow Home ID: 86662267']	http://photos3.zillowstatic.com/p_e/IS5ab16ig12rzq0000000000.jpg	158000.0	[]	1092.0	NC	160751.0	27954	86662267
2.0	3	Manteo	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1968', u'All time views: 2,023', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $232,000', u'Last sale price/sqft: $169', u'Fireplace', u'Flooring: Hardwood, Tile', u'Pool Description: Spa', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stucco', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,375 sqft', u'Laundry: In Unit', u'Parcel #: 024366000', u'Zillow Home ID: 86662450']	http://photos1.zillowstatic.com/p_e/ISdcm5ds2nb3a70000000000.jpg	232000.0	[]	1375.0	NC	230268.0	27954	86662450
5.0	4	Manteo	"[u'Baths: 4 full, 1 half', u'Lot: 7,866 sqft', u'Single Family', u'Built in 2011', u'All time views: 2,196', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $580,000', u'Last sale price/sqft: $173', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Intercom', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Wet Bar', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'County: Dare', u'OPTIONAL ROOMS: Game Room', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Bedroom 1 Level: 1', u'Bedroom 3 Level: 2', u'Bedroom 4 Level: 2', u'Association Fee Y: Yes', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Outside Lighting', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Electric', u'HEATING: Zoned', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'OPTIONAL ROOMS: Pantry', u'OPTIONAL ROOMS: Workshop', u'PARKING: Off Street', u'SEWER: Municipal Sewer', u'STYLE: Coastal', u'VIEW DESCRIPTION: Sound', u'Primary Residence (Y: Yes', u'EXTERIOR: Lap Siding', u'OPTIONAL ROOMS: Utility Room', u'VIEW DESCRIPTION: Canal', u'VIEW DESCRIPTION: Salt Marsh', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Bulkheaded', u'LOT DESCRIPTION: Cul-de-sac', u'Living Room Level: 1', u'Kitchen Level: 1', u'Bedroom 2 Level: 2', u'ASSOCIATION AMENITIES: Common Area', u'ASSOCIATION FEE INCLUDES: Walkways', u'EXTRAS: Outside Shower', u'GARAGE: 1 Car', u'INTERIOR FEATURES: All Window Treatments', u'LOT DESCRIPTION: Adj. To Common Area', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Lawn Sprinklers', u'APPLIANCES: Disposal', u'ASSOCIATION AMENITIES: Board Walk', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'APPLIANCES: Wine Cooler', u'Game Room Level: Ground', u'Area: Manteo-S. of Airport Road', u'INTERIOR FEATURES: Attic', u'COUNTER TOPS: Silestone', u'FLOOR COVERINGS: Cork', u'Subdivision: Peninsula', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Stories: 3', u'Floor size: 3,352 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 025818033', u'Zillow Home ID: 118145321']"	http://photos3.zillowstatic.com/p_e/IS5it0kpl82j2h1000000000.jpg	580000.0	[]	3352.0	NC	560614.0	27954	118145321
4.0	4	Manteo	[u'Lot: 1.29 acres', u'Single Family', u'Built in 2002', u'All time views: 6,451', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Apr 2016 for $482,500', u'Last sale price/sqft: $161', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Furnished', u'Jetted Tub', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'Oil: No Representation', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'FLOOD ZONE: AE', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'LOT DESCRIPTION: Level', u'STYLE: Traditional', u'Primary Residence (Y: Yes', u'SEWER: Private Septic', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Lawn Sprinklers', u'Yearly Expense Act: Estimated', u'GARAGE: 3 + Car', u'WATER: Well', u'EXTRAS: Central Vacuum', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'OPTIONAL ROOMS: Office', u'ASSOCIATION AMENITIES: Boat Dock', u'EXTRAS: Storage Shed', u'Area: Manteo-N. of Airport Road', u'Subdivision: Heritage Point', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,004 sqft', u'Parcel #: 024410065', u'Zillow Home ID: 86662544']	http://photos1.zillowstatic.com/p_e/ISds29femroyxi1000000000.jpg	482500.0	[]	3004.0	NC	477219.0	27954	86662544
1.0	2	Manteo	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1968', u'All time views: 2,569', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Apr 2016 for $92,500', u'Last sale price/sqft: $91', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'GARAGE: None', u'ROADS: Paved', u'WATER: Municipal', u'FLOOD ZONE: AE', u'HEATING: Electric', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'Subdivision: None', u'PARKING: Unpaved', u'SEWER: Private Septic', u'LOT DESCRIPTION: Corner', u'CONSTRUCTION: Masonry', u'EXTRAS: Storage Shed', u'Area: Manteo-S. of Airport Road', u'STYLE: Ranch', u'APPLIANCES: None', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,015 sqft', u'Parcel #: 025375000', u'Zillow Home ID: 86663794']	http://photos1.zillowstatic.com/p_e/ISxbvryp8rdj1x1000000000.jpg	92500.0	[]	1015.0	NC	135982.0	27954	86663794
2.5	3	Manteo	[u'Baths: 2 full, 1 half', u'Lot: 0.37 acres', u'Single Family', u'Built in 1985', u'All time views: 2,144', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $250,000', u'Last sale price/sqft: $157', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Off street', u'Porch', u'Vaulted Ceiling', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'ROADS: Paved', u'WATER: Municipal', u'Yearly Income Act: Actual', u'EXTERIOR: Shakes', u'EXTRAS: Landscaped', u'EXTRAS: Outside Lighting', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'HEATING: Central', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Workshop', u'PARKING: Off Street', u'VIEW DESCRIPTION: Sound', u'FOUNDATION: Masonry', u'SEWER: Private Septic', u'EXTRAS: Outside Shower', u'Rental Co: Managed by Homeowner', u'CONSTRUCTION: Masonry', u'VIEW DESCRIPTION: River', u'EXTRAS: Storage Shed', u'Area: Manteo-S. of Airport Road', u'STYLE: Cottage', u'COUNTER TOPS: Silestone', u'Subdivision: Vista Lake Rev', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1.5', u'Structure type: Craftsman', u'Unit count: 1', u'Floor size: 1,588 sqft', u'Laundry: In Unit', u'Parcel #: 025758000', u'Zillow Home ID: 86664542']	http://photos3.zillowstatic.com/p_e/ISli4mhrsybo2m1000000000.jpg	250000.0	[]	1588.0	NC	232417.0	27954	86664542
4.5	5	Manteo	"[u'Baths: 4 full, 1 half', u'Lot: 10,001 sqft', u'Single Family', u'Built in 1994', u'All time views: 2,242', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $461,005', u'Last sale price/sqft: $191', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Carport', u'Pool', u'Vaulted Ceiling', u'Waterfront', u'Wet Bar', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Health Club', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'CONSTRUCTION: Wood', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Bedroom 2 Level: 1', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Zoned', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'PARKING: Off Street', u'SEWER: Municipal Sewer', u'Primary Residence (Y: Yes', u'Yearly Expense Act: Actual', u'Living Room Level: 2', u'Kitchen Level: 2', u'Bedroom 1 Level: 2', u'EXTERIOR: Lap Siding', u'VIEW DESCRIPTION: Canal', u'ASSOCIATION FEE INCLUDES: Management', u'ASSOCIATION FEE INCLUDES: Security', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION AMENITIES: Common Area', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'GARAGE: 1 Car', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'OPTIONAL ROOMS: Shipswatch', u'ASSOCIATION AMENITIES: Board Walk', u'Bedroom 3 Level: 1', u'Bedroom 5 Level: 1', u'Bedroom 4 Level: 1', u'Area: Pirates Cove', u'ASSOCIATION AMENITIES: Boat Dock', u'Utility Room Level: Ground', u'Optional Room 1 Level: 3', u'EXTRAS: Storage Shed', u'Subdivision: PC-Rudder Village', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,408 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 025694045', u'Zillow Home ID: 86664349']"	http://photos2.zillowstatic.com/p_e/ISd8j8yayqptng1000000000.jpg	461005.0	[]	2408.0	NC	487332.0	27954	86664349
3.5	4	Manteo	"[u'Baths: 3 full, 1 half', u'Single Family', u'Built in 1998', u'All time views: 4,511', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $523,000', u'Last sale price/sqft: $230', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Tile', u'Furnished', u'Hot Tub/Spa', u'Parking: Carport', u'Tennis Court', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'Oil: No Representation', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'CONSTRUCTION: Frame', u'EXTRAS: Landscaped', u'EXTRAS: Outside Lighting', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Central', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Master Bath', u'SEWER: Municipal Sewer', u'STYLE: Coastal', u'VIEW DESCRIPTION: Sound', u'ASSOCIATION FEE INCLUDES: Management', u'LOT DESCRIPTION: Bulkheaded', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION AMENITIES: Common Area', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'ASSOCIATION FEE INCLUDES: Walkways', u'EXTRAS: Outside Shower', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Lawn Sprinklers', u'ASSOCIATION AMENITIES: Board Walk', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'Area: Pirates Cove', u'ASSOCIATION AMENITIES: Boat Dock', u'Rental Co: Pirates Cove Realty', u'Subdivision: PC-Village Landngs', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Structure type: Contemporary', u'Floor size: 2,270 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2104674481']"	http://photos2.zillowstatic.com/p_e/IS1v0wh4va1sdp1000000000.jpg	523000.0	[]	2270.0	NC	500131.0	27954	2104674481
