baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Lucama	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1935', u'All time views: 556', u'Heating: Other', u'Last sold: Dec 2015 for $36,000', u'Last sale price/sqft: $18', u'Stories: 1', u'Floor size: 1,952 sqft', u'Heating: Other', u'Parcel #: 2677-28-2552.000', u'Zillow Home ID: 107069965']	http://photos2.zillowstatic.com/p_e/IS1fwp52evnjyu0000000000.jpg	36000.0	[]	1952.0	NC	89989.0	27851	107069965
3.5	4	Lucama	[u'Lot: 1.92 acres', u'Single Family', u'Built in 2008', u'All time views: 1,722', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $141,500', u'Last sale price/sqft: $46', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1.5', u'Floor size: 3,076 sqft', u'Parcel #: 2697-96-3477.000', u'Zillow Home ID: 107070668']	http://photos3.zillowstatic.com/p_e/IS9t4k8kxft1be1000000000.jpg	141500.0	[]	3076.0	NC	249430.0	27851	107070668
2.0	3	Lucama	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1997', u'All time views: 1,111', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $76,700', u'Last sale price/sqft: $50', u'Fireplace', u'Exterior material: Other', u'Foundation type: Piers', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 092687624173', u'Zillow Home ID: 78381116']	http://photos1.zillowstatic.com/p_e/ISlio9he3jg75c1000000000.jpg	76700.0	[]	1532.0	NC	78750.0	27851	78381116
2.5	3	Lucama	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2006', u'All time views: 1,114', u'Heating: Other', u'Last sold: Oct 2015 for $263,000', u'Last sale price/sqft: $95', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1.5', u'Floor size: 2,755 sqft', u'Heating: Other', u'Parcel #: 2770-77-2013.000', u'Zillow Home ID: 107072511']	http://photos1.zillowstatic.com/p_e/ISptvl16z70bgn1000000000.jpg	263000.0	[]	2755.0	NC	276807.0	27851	107072511
1.0	2	Lucama	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1935', u'All time views: 612', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2015 for $20,000', u'Last sale price/sqft: $18', u'Stories: 1', u'Floor size: 1,104 sqft', u'Parcel #: 2677-48-6567.000', u'Zillow Home ID: 107070006']	http://photos3.zillowstatic.com/p_e/ISlex1q9498awo0000000000.jpg	20000.0	[]	1104.0	NC	61868.0	27851	107070006
1.0	3	Lucama	[u'Lot: 1.24 acres', u'Single Family', u'Built in 1974', u'All time views: 850', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2015 for $83,500', u'Last sale price/sqft: $59', u'Stories: 1', u'Floor size: 1,416 sqft', u'Parcel #: 2698-22-9398.000', u'Zillow Home ID: 107070687']	http://photos3.zillowstatic.com/p_e/ISledavv4o2m4v1000000000.jpg	83500.0	[]	1416.0	NC	106428.0	27851	107070687
2.0	3	Lucama	[u'Lot: 1.19 acres', u'Single Family', u'Built in 2006', u'All time views: 1,207', u'Heating: Other', u'Last sold: Jul 2015 for $220,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 2,254 sqft', u'Heating: Other', u'Parcel #: 2770-66-7529.000', u'Zillow Home ID: 107072492']	http://photos2.zillowstatic.com/p_e/IS5a3r8biapfj41000000000.jpg	220000.0	[]	2254.0	NC	222103.0	27851	107072492
2.0	3	Lucama	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2005', u'All time views: 1,165', u'Heating: Other', u'Last sold: Jun 2015 for $206,000', u'Last sale price/sqft: $102', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 2,017 sqft', u'Heating: Other', u'Parcel #: 2780-72-7979.000', u'Zillow Home ID: 107072917']	http://photos1.zillowstatic.com/p_e/ISdk0u7ifnm0q90000000000.jpg	206000.0	[]	2017.0	NC	124508.0	27851	107072917
2.0	3	Lucama	[u'Lot: 1.41 acres', u'Single Family', u'Built in 1996', u'All time views: 238', u'Heating: Other', u'Last sold: Jun 2015 for $20,000', u'Last sale price/sqft: $11', u'Stories: 1', u'Floor size: 1,848 sqft', u'Heating: Other', u'Parcel #: 2780-53-0630.000', u'Zillow Home ID: 107072899']	http://photos2.zillowstatic.com/p_e/IS7qo1gx2jui77.jpg	20000.0	[]	1848.0	NC	76803.0	27851	107072899
2.0	3	Lucama	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1971', u'All time views: 627', u'Heating: Other', u'Last sold: Apr 2015 for $88,000', u'Last sale price/sqft: $45', u'Fireplace', u'Stories: 1', u'Floor size: 1,958 sqft', u'Heating: Other', u'Parcel #: 2678-26-6953.000', u'Zillow Home ID: 107070059']	http://photos1.zillowstatic.com/p_e/ISlyogb42kkmvf0000000000.jpg	88000.0	[]	1958.0	NC	101600.0	27851	107070059
2.0	3	Lucama	[u'Lot: 1.3 acres', u'Single Family', u'Built in 2006', u'All time views: 460', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Mar 2015 for $157,000', u'Last sale price/sqft: $93', u'Stories: 1', u'Floor size: 1,695 sqft', u'Parcel #: 3609-21-3540.000', u'Zillow Home ID: 113764806']	http://photos3.zillowstatic.com/p_e/ISxvqhzmsaky4r0000000000.jpg	157000.0	[]	1695.0	NC	137038.0	27851	113764806
2.0	3	Lucama	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1991', u'All time views: 1,292', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jan 2015 for $76,500', u'Last sale price/sqft: $44', u'Stories: 1', u'Floor size: 1,728 sqft', u'Parcel #: 2780-52-4076.000', u'Zillow Home ID: 107072888']	http://photos2.zillowstatic.com/p_e/IS5u6bemu93u290000000000.jpg	76500.0	[]	1728.0	NC	72855.0	27851	107072888
3.0	3	Lucama	[u'Baths: 2 full, 2 half', u'Lot: 1 acre', u'Single Family', u'Built in 2009', u'All time views: 2,142', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $115,900', u'Last sale price/sqft: $93', u'Flooring: Carpet, Linoleum / Vinyl', u'1st Floor Master', u'Appliances: Oven - Electric', u'Construction: Wood Frame', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Heating System: Electric', u'Parking: Paved', u'Thermal Windows', u'Road Type: St)', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Laundry', u'Water: Septic On Site', u'Fuel Tank: None', u'Smoke Detectors', u'Dry Connect', u'Fireplace: None', u'Attic: Access Only', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 1,242 sqft', u'Parcel #: 2699-00-1623.000', u'Zillow Home ID: 107070900']	http://photos3.zillowstatic.com/p_e/ISl2g4z4o7sw891000000000.jpg	115900.0	[]	1242.0	NC	114248.0	27851	107070900
2.0	3	Lucama	[u'Lot: 0.26 acres', u'Single Family', u'Built in 1978', u'All time views: 2,739', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Apr 2016 for $76,000', u'Last sale price/sqft: $55', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached', u'View: Territorial', u'Our Town Properties', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,390 sqft', u'Last remodel year: 2015', u'Parcel #: 2699-43-8261.000', u'Zillow Home ID: 107071025']	http://photos3.zillowstatic.com/p_e/IShvna2hwnukge1000000000.jpg	76000.0	[]	1390.0	NC	78349.0	27851	107071025
1.0	2	Lucama	[u'Lot: 9,757 sqft', u'Single Family', u'Built in 1972', u'All time views: 1,181', u'Last sold: Jan 2016 for $52,000', u'Last sale price/sqft: $33', u'Stories: 1', u'Floor size: 1,594 sqft', u'Parcel #: 2699-53-4020.000', u'Zillow Home ID: 107071072']	http://photos2.zillowstatic.com/p_e/IStoynmy50a9bt0000000000.jpg	52000.0	[]	1594.0	NC	78084.0	27851	107071072
2.0	3	Lucama	[u'Lot: 0.97 acres', u'Single Family', u'Built in 1997', u'All time views: 2,920', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $114,000', u'Last sale price/sqft: $90', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Patio', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Family room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,270 sqft', u'Heating: Electric', u'Parcel #: 2698-56-4386.000', u'Zillow Home ID: 107070785']	http://photos1.zillowstatic.com/p_e/ISxfmbnkn6hfho1000000000.jpg	114000.0	[]	1270.0	NC	112786.0	27851	107070785
2.0	3	Lucama	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1935', u'All time views: 557', u'Heating: Other', u'Last sold: Dec 2015 for $36,000', u'Last sale price/sqft: $18', u'Stories: 1', u'Floor size: 1,952 sqft', u'Heating: Other', u'Parcel #: 2677-28-2552.000', u'Zillow Home ID: 107069965']	http://photos2.zillowstatic.com/p_e/IS1fwp52evnjyu0000000000.jpg	36000.0	[]	1952.0	NC	89989.0	27851	107069965
3.5	4	Lucama	[u'Lot: 1.92 acres', u'Single Family', u'Built in 2008', u'All time views: 1,723', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $141,500', u'Last sale price/sqft: $46', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1.5', u'Floor size: 3,076 sqft', u'Parcel #: 2697-96-3477.000', u'Zillow Home ID: 107070668']	http://photos3.zillowstatic.com/p_e/IS9t4k8kxft1be1000000000.jpg	141500.0	[]	3076.0	NC	249430.0	27851	107070668
2.0	3	Lucama	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1997', u'All time views: 1,112', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $76,700', u'Last sale price/sqft: $50', u'Fireplace', u'Exterior material: Other', u'Foundation type: Piers', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,532 sqft', u'Parcel #: 092687624173', u'Zillow Home ID: 78381116']	http://photos1.zillowstatic.com/p_e/ISlio9he3jg75c1000000000.jpg	76700.0	[]	1532.0	NC	78750.0	27851	78381116
2.5	3	Lucama	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2006', u'All time views: 1,113', u'Heating: Other', u'Last sold: Oct 2015 for $263,000', u'Last sale price/sqft: $95', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1.5', u'Floor size: 2,755 sqft', u'Heating: Other', u'Parcel #: 2770-77-2013.000', u'Zillow Home ID: 107072511']	http://photos1.zillowstatic.com/p_e/ISptvl16z70bgn1000000000.jpg	263000.0	[]	2755.0	NC	276807.0	27851	107072511
1.0	2	Lucama	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1935', u'All time views: 613', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2015 for $20,000', u'Last sale price/sqft: $18', u'Stories: 1', u'Floor size: 1,104 sqft', u'Parcel #: 2677-48-6567.000', u'Zillow Home ID: 107070006']	http://photos3.zillowstatic.com/p_e/ISlex1q9498awo0000000000.jpg	20000.0	[]	1104.0	NC	61868.0	27851	107070006
1.0	3	Lucama	[u'Lot: 1.24 acres', u'Single Family', u'Built in 1974', u'All time views: 851', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2015 for $83,500', u'Last sale price/sqft: $59', u'Stories: 1', u'Floor size: 1,416 sqft', u'Parcel #: 2698-22-9398.000', u'Zillow Home ID: 107070687']	http://photos3.zillowstatic.com/p_e/ISledavv4o2m4v1000000000.jpg	83500.0	[]	1416.0	NC	106428.0	27851	107070687
2.0	3	Lucama	[u'Lot: 1.19 acres', u'Single Family', u'Built in 2006', u'All time views: 1,208', u'Heating: Other', u'Last sold: Jul 2015 for $220,000', u'Last sale price/sqft: $98', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 2,254 sqft', u'Heating: Other', u'Parcel #: 2770-66-7529.000', u'Zillow Home ID: 107072492']	http://photos2.zillowstatic.com/p_e/IS5a3r8biapfj41000000000.jpg	220000.0	[]	2254.0	NC	222103.0	27851	107072492
2.0	3	Lucama	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2005', u'All time views: 1,166', u'Heating: Other', u'Last sold: Jun 2015 for $206,000', u'Last sale price/sqft: $102', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 2,017 sqft', u'Heating: Other', u'Parcel #: 2780-72-7979.000', u'Zillow Home ID: 107072917']	http://photos1.zillowstatic.com/p_e/ISdk0u7ifnm0q90000000000.jpg	206000.0	[]	2017.0	NC	124508.0	27851	107072917
2.0	3	Lucama	[u'Lot: 1.41 acres', u'Single Family', u'Built in 1996', u'All time views: 239', u'Heating: Other', u'Last sold: Jun 2015 for $20,000', u'Last sale price/sqft: $11', u'Stories: 1', u'Floor size: 1,848 sqft', u'Heating: Other', u'Parcel #: 2780-53-0630.000', u'Zillow Home ID: 107072899']	http://photos2.zillowstatic.com/p_e/IS7qo1gx2jui77.jpg	20000.0	[]	1848.0	NC	76803.0	27851	107072899
2.0	3	Lucama	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1971', u'All time views: 628', u'Heating: Other', u'Last sold: Apr 2015 for $88,000', u'Last sale price/sqft: $45', u'Fireplace', u'Stories: 1', u'Floor size: 1,958 sqft', u'Heating: Other', u'Parcel #: 2678-26-6953.000', u'Zillow Home ID: 107070059']	http://photos1.zillowstatic.com/p_e/ISlyogb42kkmvf0000000000.jpg	88000.0	[]	1958.0	NC	101600.0	27851	107070059
2.0	3	Lucama	[u'Lot: 1.3 acres', u'Single Family', u'Built in 2006', u'All time views: 461', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Mar 2015 for $157,000', u'Last sale price/sqft: $93', u'Stories: 1', u'Floor size: 1,695 sqft', u'Parcel #: 3609-21-3540.000', u'Zillow Home ID: 113764806']	http://photos3.zillowstatic.com/p_e/ISxvqhzmsaky4r0000000000.jpg	157000.0	[]	1695.0	NC	137038.0	27851	113764806
2.0	3	Lucama	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1991', u'All time views: 1,293', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jan 2015 for $76,500', u'Last sale price/sqft: $44', u'Stories: 1', u'Floor size: 1,728 sqft', u'Parcel #: 2780-52-4076.000', u'Zillow Home ID: 107072888']	http://photos2.zillowstatic.com/p_e/IS5u6bemu93u290000000000.jpg	76500.0	[]	1728.0	NC	72855.0	27851	107072888
