baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Sunset Beach	[u'Lot: 0.25 acres', u'Single Family', u'Built in 2003', u'All time views: 527', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $162,500', u'Last sale price/sqft: $103', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 2 spaces', u'Patio', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Shutters - Hurricane', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Lot Description: Cul-de-Sac Lot', u'Parking: Paved', u'Thermal Windows', u'Road Type: St)', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'HOA Amenities: Maint - Comm Areas', u'9Ft+ Ceilings', u'Shades', u'Fuel Tank: None', u'Ceiling - Trey', u'Smoke Detectors', u'Dry Connect', u'Laundry Location: Room', u'Home Warr: Termite Bond', u'Irrigation System', u'Water: Sewer Tap Available', u'Fireplace: None', u'Parking: Off Street', u'Attic: Stairs - Pull Down', u'Pool: None', u'Service Providers: Electric Provider: Brunswick Electric', u'None', u'Water: Water Tap Available', u'Amenities-Neigh: None', u'Accessibility: None', u'Rooms: Other Room', u'Rooms: Other Room 2', u'List Office Board Code: Brunswick County Association of Realtors', u'Walk-In Closet', u'Roof: Architectural Shingle', u'Service Providers: Sewer Provider: Brunswick County Public Utilities', u'Service Providers: Water Provider: Brunswick County Public Utilities', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,578 sqft', u'Laundry: In Unit', u'Parcel #: 227NA003', u'Zillow Home ID: 78228303']	http://photos3.zillowstatic.com/p_e/IShjqkmt971d261000000000.jpg	162500.0	[]	1578.0	NC	170401.0	28468	78228303
2.0	3	Sunset Beach	[u'Lot: 0.27 acres', u'Single Family', u'Built in 1980', u'All time views: 8,916', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $129,000', u'Last sale price/sqft: $86', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate', u'Porch', u'Skylight', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Construction: Wood Frame', u'Water Heater: Electric', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Fuel Tank: Propane Above Ground', u'Road Type: Private', u'Road Type: Paved', u'Water: Septic On Site', u'Exterior Structures: Shed', u'Fencing: Wood', u'Parking: Dirt', u'Shades', u'None', u'Smoke Detectors', u'Dry Connect', u'Laundry Location: Room', u'Gas Logs', u'Amenities-Neigh: None', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,500 sqft', u'Laundry: In Unit', u'Parcel #: 255FC016', u'Zillow Home ID: 78254248']	http://photos1.zillowstatic.com/p_e/ISdwdgvlmky2sw0000000000.jpg	129000.0	[]	1500.0	NC	129751.0	28468	78254248
2.0	3	Sunset Beach	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 2001', u'All time views: 1,745', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $145,000', u'Last sale price/sqft: $114', u'Parking: 2 spaces', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Foundation: Slab', u'Fencing: None', u'Fuel Tank: Propane Above Ground', u'Parking: Paved', u'Road Type: Maintained', u'Road Type: Private', u'Roof: Shingle', u'HOA: Yes', u'HOA Amenities: Maint - Comm Areas', u'Shades', u'None', u'Walk-in Shower', u'Fireplace: None', u'Attic: Stairs - Pull Down', u'HOA Amenities: Maint - Roads', u'List Office Board Code: Brunswick County Association of Realtors', u'Walk-In Closet', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,268 sqft', u'Parcel #: 227NA025', u'Zillow Home ID: 78228027']	http://photos3.zillowstatic.com/p_e/IS9ton0okagnhv1000000000.jpg	145000.0	[]	1268.0	NC	143272.0	28468	78228027
2.0	3	Sunset Beach	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1992', u'All time views: 5,193', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $176,000', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Laminate', u'Hot Tub/Spa', u'Porch', u'Tennis Court', u'1st Floor Master', u'Construction Type: Stick Built', u'Amenities-Neigh: Golf Course', u'Amenities-Neigh: Picnic Area', u'Appliances: Disposal', u'Construction: Wood Frame', u'Foundation: Slab', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Parking: Paved', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Appliances: Vent Hood', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'HOA Amenities: Mgmt Fee', u'Amenities-Neigh: Pool', u'Amenities-Neigh: See Remarks', u'Shades', u'Fuel Tank: None', u'Flood Zone: Yes', u'Dry Connect', u'Lot Description: Golf Course Lot', u'Irrigation System', u'Gas Logs', u'Parking: On Site', u'Parking: Off Street', u'HOA Amenities: Maint - Roads', u'HOA Amenities: Security', u'Amenities-Neigh: Clubhouse', u'Service Providers: Electric Provider: Brunswick Electric', u'Amenities-Neigh: Restaurant', u'None', u'HOA Amenities: Street Lights', u'Amenities-Neigh: Comm Garden', u'Water: Municipal Water Available', u'Rooms: Other Room', u'Water: Municipal Sewer Available', u'List Office Board Code: Brunswick County Association of Realtors', u'Service Providers: Sewer Provider: Brunswick County Public Utilities', u'Service Providers: Water Provider: Brunswick County Public Utilities', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,601 sqft', u'Laundry: In Unit', u'Parcel #: 242OA096', u'Zillow Home ID: 78246479']	http://photos1.zillowstatic.com/p_e/ISizyxuw336vud1000000000.jpg	176000.0	[]	1601.0	NC	181079.0	28468	78246479
2.0	3	Sunset Beach	[u'Lot: 1 acre', u'Single Family', u'Built in 1983', u'66 days on Zillow', u'Views since listing: 2,132', u'All time views: 2,199', u'26 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $390,000', u'Last sale price/sqft: $243', u'MLS #: 100017796', u'Ceiling Fan', u'Deck', u'Flooring: Carpet', u'Parking: Carport', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Kitchen Eat-in Kitchen', u'Age: 31-40 Years Old', u'Water: Municipal Water', u'Sewer: Public', u'General: Smoke Detector', u'Flooring: Mixed', u'Cooling: C', u'General: Window Treatments', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Exterior: Doors', u'Area Amenities: Biking', u'Exterior Living Space: Lanai', u'Exterior: Storm door', u'Area Amenities: Boating', u'Area Amenities: Biking Path', u'Area Amenities: Area Boat Ramp', u'Area Amenities: Aquatic Activities', u'Area Amenities: Golf', u'Area Amenities: Outdoor Activities', u'Views: Ocean', u'Exterior: Underground Lawn Sprinkler', u'Exterior: Storm window', u'Location: Island', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Vinyl, Wood', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,608 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 263AC022', u'Zillow Home ID: 78259085']	http://photos2.zillowstatic.com/p_e/IS23zbjhej20ii1000000000.jpg	390000.0	[]	1608.0	NC	400577.0	28468	78259085
2.0	3	Sunset Beach	[u'Lot: 0.47 acres', u'Single Family', u'Built in 2000', u'All time views: 6,112', u'HOA Fee: $33/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $280,000', u'Last sale price/sqft: $108', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached', u'Sale: For Sale', u'Status Category: Active', u'Type: DETACHED', u'Construction: Resale', u'Style: Other', u'Status: PEND. CNTGT. ON FINANCING', u'Formal Dining: Yes', u'State: NC', u'Middle School: Shallotte Middle School', u'High School: West Brunswick High School', u'County: Brunswick', u'Frequency HOA Paid: Annually', u'City: Sunset Beach', u'Zip: 28468', u'Section: Sea Trail Plantation', u'Est. Heated SqFt: 2501-2600', u'Est. SqFt Under Roof: 2501-2600', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Sun room', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,600 sqft', u'Laundry: In Unit', u'Parcel #: 242AA001', u'Zillow Home ID: 81589883']	http://photos3.zillowstatic.com/p_e/IS5a7udk4vas7s1000000000.jpg	280000.0	[]	2600.0	NC	320703.0	28468	81589883
3.5	3	Sunset Beach	[u'Baths: 3 full, 1 half', u'Lot: 0.31 acres', u'Single Family', u'Built in 2006', u'All time views: 10,237', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $730,000', u'Last sale price/sqft: $253', u'Ceiling Fan', u'Deck', u'Elevator', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached', u'Porch', u'Sprinkler System', u'View: Water', u'Waterfront', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Shutters - Hurricane', u'Fencing: None', u'Water: Municipal Water', u'Flooring: Bamboo', u'Rooms: Living Room', u'Parking: Paved', u'Road Type: Maintained', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Appliances: Vent Hood', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Foundation: See Remarks', u'Appliances: Oven - Gas', u'Construction: Concrete', u'9Ft+ Ceilings', u'Flood Zone: Yes', u'Smoke Detectors', u'Walk-in Shower', u'Dry Connect', u'Laundry Location: Room', u'Home Warr: Termite Bond', u'Irrigation System', u'Gas Logs', u'Fuel Tank: Propane Buried', u'Foundation: Manufactured Permanent', u'Parking: Off Street', u'Pool: None', u'Service Providers: Electric Provider: Brunswick Electric', u'Construction: Steel Frame', u'Shutters - Functional', u'None', u'Amenities-Neigh: None', u'Basement: Finished - Partial', u'Rooms: Other Room', u'Rooms: Other Room 2', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Family room', u'Office', u'Exterior material: Composition', u'Roof type: Composition', u'Room count: 11', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,891 sqft', u'Heating: Gas', u'Parcel #: 256HB019', u'Zillow Home ID: 84169952']	http://photos2.zillowstatic.com/p_e/IS52tdllgiredx0000000000.jpg	730000.0	[]	2891.0	NC	732487.0	28468	84169952
2.5	3	Sunset Beach	[u'Baths: 2 full, 1 half', u'Lot: 8,712 sqft', u'Single Family', u'Built in 2006', u'All time views: 5,101', u'HOA Fee: $150/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $279,000', u'Last sale price/sqft: $127', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Laminate, Tile', u'Hot Tub/Spa', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Security System', u'Tennis Court', u'Vaulted Ceiling', u'View: Territorial', u'1st Floor Master', u'Construction Type: Stick Built', u'Amenities-Neigh: Golf Course', u'Appliances: Disposal', u'Basement: None', u'Construction: Wood Frame', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Parking: Paved', u'Road Type: Maintained', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'HOA Amenities: Mgmt Fee', u'HOA Amenities: Pest Control', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'Attic: None', u'9Ft+ Ceilings', u'Shades', u'Laundry Location: Hookup - Dryer', u'Laundry Location: Hookup - Washer', u'Ceiling - Trey', u'Smoke Detectors', u'Dry Connect', u'Lot Description: Golf Course Lot', u'Laundry Location: Room', u'Irrigation System', u'Gas Logs', u'Fuel Tank: Propane Buried', u'Rooms: Bonus', u'Service Providers: Sewer Provider: Town', u'Service Providers: Water Provider: County', u'HOA Amenities: Clubhouse', u'HOA Amenities: Maint - Roads', u'Amenities-Neigh: Clubhouse', u'Service Providers: Electric Provider: Brunswick Electric', u'Appliances: Convection Oven', u'Amenities-Neigh: Restaurant', u'None', u'None', u'Accessibility: None', u'List Office Board Code: Brunswick County Association of Realtors', u'Solid Surface', u'Walk-In Closet', u'Roof: Architectural Shingle', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Composition', u'Roof type: Composition', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,193 sqft', u'Laundry: In Unit', u'Parcel #: 242BB002', u'Zillow Home ID: 81589986']	http://photos2.zillowstatic.com/p_e/IS525z1y5lh5hm1000000000.jpg	279000.0	[]	2193.0	NC	292138.0	28468	81589986
2.0	2	Sunset Beach	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1996', u'All time views: 7,073', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $110,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Parking: Garage - Attached', u'Porch', u'Sprinkler System', u'Kitchen Eat-in Kitchen', u'Garage Count: 1 Car Garage', u'Garage Description: Garage', u'General: Smoke Detector', u'Fencing: Fenced Yard', u'Flooring: Mixed', u'Cooling: C', u'Age: 11-20 Years Old', u'General: Window Treatments', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Exterior: Out Building', u'Area Amenities: Biking', u'Flooring: Ceramic', u'Area Amenities: Boating', u'Area Amenities: Biking Path', u'Area Amenities: Area Boat Ramp', u'Area Amenities: Aquatic Activities', u'Area Amenities: Golf', u'Area Amenities: Outdoor Activities', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl, Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,101 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 255FF008', u'Zillow Home ID: 78255093']	http://photos2.zillowstatic.com/p_e/ISd09bvfu64ewe0000000000.jpg	110000.0	[]	1101.0	NC	135408.0	28468	78255093
2.0	4	Sunset Beach	[u'Single Family', u'Built in 2004', u'All time views: 1,743', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $260,000', u'Last sale price/sqft: $87', u'Ceiling Fan', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached', u'Patio', u'Pool', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'Sale: For Sale', u'State: SC', u'Status Category: Active', u'Type: DETACHED', u'Style: Ranch', u'Utilities Available: Water Public', u'Construction: Resale', u'Available Amenities: Home Owners Assoc. Fees', u'Levels: Single Level', u'Master Bath: Shower', u'Master Bath: Tub', u'Master Bedroom: 1st Flr Level', u'Other Rooms: 1st Floor Bedrooms', u'Other Rooms: 1st Floor Baths', u'Other Rooms: Utility', u'Utilities Available: Sewer', u'Water Heater: Electric', u'Available Amenities: Trash Pickup', u'Smoke Detector', u'Lot Location: Lake', u'Available Amenities: Seller Disclosure', u'Wind Treat Convey', u'Split Bedroom Plan', u'Exterior Finish: Siding', u'Master Bath: Vanity', u'Available Amenities: Facilities', u'Other Rooms: Carolina Room', u'Status: PEND. CNTGT. ON FINANCING', u'Kitchen: Breakfast Bar', u'Lot Description: Corner', u'Master Bath: Garden Tub', u'Other Rooms: Foyer', u'Middle School: Shallotte Middle School', u'High School: West Brunswick High School', u'County: Brunswick', u'Windows', u'Foundation: Slab', u'Bonus Room', u'Other Rooms: Bonus Room', u'Garage Door Opener', u'Levels: Two-Story', u'Master Bedroom: Tray Ceiling', u'Lot Location: In Golf Course Community', u'Lot Location: On Golf Course', u'City: Sunset Beach', u'Zip: 28468', u'Frequency HOA Paid: Semi-Annually', u'Section: Sandpiper Bay', u'Est. Heated SqFt: 2201-2300', u'Est. SqFt Under Roof: 2901-3000', u'Kitchen: Granite Countertops', u'Master Bedroom: Sitting Area', u'Side Load Garage', u'HOA Fee Includes: Electric Common', u'HOA Fee Includes: Trash Pickup', u'HOA Fee Includes: Pool Service', u'HOA Fee Includes: Repair', u'HOA Fee Includes: Recreation Facilities', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Vinyl, Wood', u'Roof type: Composition', u'Stories: 0', u'Floor size: 3,000 sqft', u'Laundry: In Unit', u'Parcel #: 227HA026', u'Zillow Home ID: 78228036']	http://photos3.zillowstatic.com/p_e/IShn1wd0okts501000000000.jpg	260000.0	[]	3000.0	NC	282553.0	28468	78228036
2.0	3	Sunset Beach	[u'Lot: 0.25 acres', u'Single Family', u'Built in 2003', u'All time views: 528', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $162,500', u'Last sale price/sqft: $103', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 2 spaces', u'Patio', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Shutters - Hurricane', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Lot Description: Cul-de-Sac Lot', u'Parking: Paved', u'Thermal Windows', u'Road Type: St)', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'HOA Amenities: Maint - Comm Areas', u'9Ft+ Ceilings', u'Shades', u'Fuel Tank: None', u'Ceiling - Trey', u'Smoke Detectors', u'Dry Connect', u'Laundry Location: Room', u'Home Warr: Termite Bond', u'Irrigation System', u'Water: Sewer Tap Available', u'Fireplace: None', u'Parking: Off Street', u'Attic: Stairs - Pull Down', u'Pool: None', u'Service Providers: Electric Provider: Brunswick Electric', u'None', u'Water: Water Tap Available', u'Amenities-Neigh: None', u'Accessibility: None', u'Rooms: Other Room', u'Rooms: Other Room 2', u'List Office Board Code: Brunswick County Association of Realtors', u'Walk-In Closet', u'Roof: Architectural Shingle', u'Service Providers: Sewer Provider: Brunswick County Public Utilities', u'Service Providers: Water Provider: Brunswick County Public Utilities', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,578 sqft', u'Laundry: In Unit', u'Parcel #: 227NA003', u'Zillow Home ID: 78228303']	http://photos3.zillowstatic.com/p_e/IShjqkmt971d261000000000.jpg	162500.0	[]	1578.0	NC	170401.0	28468	78228303
