baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Fountain	[u'Baths: 2 full, 1 half', u'Lot: 0.7 acres', u'Single Family', u'Built in 1953', u'All time views: 1,783', u'Cooling: Central', u'Heating: Other', u'Last sold: Dec 2015 for $135,000', u'Last sale price/sqft: $51', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Attached, 2 spaces, 546 sqft garage', u'Patio', u'Porch', u'BasementAndFoundation: Crawl Space', u'Fencing: None', u'HoaAmenities: None', u'Gas logs', u'MiscSearch1: Bedroom 1st Floor', u'Type: Site Built', u'WindowsAndDoors: Storm Windows', u'WindowsAndDoors: Thermal Doors', u'Master Bedrm 1st Floor', u'Style: Traditional', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Floored', u'Attic: Pull Down Stairs', u'MiscSearch1: Sunroom', u'MiscSearch1: Library', u'Appliances: Hood', u'DiningAndLiving: Formal Living', u'Roof: Architectural', u'Disclosures: Above Ground Tank', u'Tile shower', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Cement concrete', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,668 sqft', u'Heating: Gas, Other', u'Last remodel year: 1965', u'Laundry: Shared', u'Lot depth: 300 ft', u'Lot width: 100 ft', u'Parcel #: 008153', u'Zillow Home ID: 51418191']	http://photos1.zillowstatic.com/p_e/ISxncphgsjnjzr0000000000.jpg	135000.0	[]	2668.0	NC	139008.0	27829	51418191
3.5	4	Fountain	[u'Baths: 3 full, 1 half', u'Lot: 12.92 acres', u'Single Family', u'Built in 2009', u'87 days on Zillow', u'Views since listing: 108', u'All time views: 1,256', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2015 for $307,000', u'Last sale price/sqft: $119', u'MLS #: 50117838', u'View Virtual Tour', u'Deck', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Parking: Carport, 2 spaces', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Rooms: Living Room', u'Fuel Tank: Propane Above Ground', u'Tankless Water Heater', u'Heating System: Electric', u'Thermal Doors', u'Road Type: Private', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Appliances: Vent Hood', u'Rooms: Master Bedroom', u'Water: Septic On Site', u'Appliances: See Remarks', u'Laundry Location: Hookup - Washer', u'Road Type: Unpaved', u'Ceiling - Trey', u'Foundation: Raised Slab', u'Dry Connect', u'Laundry Location: Room', u'Appliances: Cooktop - Gas', u'Fencing: Ornamental', u'Water Heater: Tankless', u'Appliances: Convection Oven', u'Lot Description: Wooded', u'Attic: Walk-In', u'HOA Amenities: No Amenities', u'Rooms: Other Room', u'Solid Surface', u'Walk-In Closet', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,585 sqft', u'Heating: Electric', u'Parcel #: 3780-70-1334.000', u'Zillow Home ID: 107095872']	http://photos3.zillowstatic.com/p_e/IShntd25bqhj4c1000000000.jpg	307000.0	[]	2585.0	NC	256003.0	27829	107095872
2.0	4	Fountain	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,571', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Aug 2015 for $160,000', u'Last sale price/sqft: $71', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Detached, None', u'Appliances: Dishwasher', u'Appliances: Oven Electric', u'BasementAndFoundation: Crawl Space', u'Construction: Siding-Vinyl', u'Cooling: Central', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'HeatingSystem: Heat Pump', u'HoaAmenities: None', u'Home Owners Association Y: No', u'Ceiling Fans', u'MiscSearch1: Bedroom 1st Floor', u'New Construction Y: No', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'WaterAndSewer: Community Water System', u'WaterAndSewer: Septic Tank', u'WindowsAndDoors: Thermal Doors', u'Disclosures: None Known', u'Flooring: Ceramic Tile', u'HeatingFuel: Electric', u'Master Bedrm 1st Floor', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'DiningAndLiving: Den', u'None', u'MiscSearch2: .5-1 Acres', u'Porch: Front', u'DiningAndLiving: Breakfast Nook', u'MiscSearch1: Bonus-Finished', u'HeatingSystem: Fireplace', u'Attic: None', u'GarageAndCarport: Double Detached Garage', u'or Dryer Hook Up', u'MiscSearch1: Media Room', u'DiningAndLiving: Formal Living', u'Work Island', u'Tile back splash', u'Porch: Side', u'Type: Modular', u'Porch: Covered', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,240 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Parcel #: 471178299900', u'Zillow Home ID: 79886233']	http://photos1.zillowstatic.com/p_e/ISd4olgkvflb4d0000000000.jpg	160000.0	[]	2240.0	NC	149011.0	27829	79886233
2.0	4	Fountain	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1940', u'All time views: 1,609', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2015 for $138,000', u'Last sale price/sqft: $64', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Detached, 2 spaces', u'Patio', u'Porch', u'BasementAndFoundation: Crawl Space', u'Construction: Siding-Vinyl', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'Gas logs', u'MiscSearch1: Bedroom 1st Floor', u'Type: Site Built', u'WindowsAndDoors: Thermal Doors', u'Attic: Walk In Storage', u'Master Bedrm 1st Floor', u'MiscSearch2: Less than .5 acres', u'Style: Traditional', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'Attic: Access Only', u'DiningAndLiving: Formal Dining', u'Attic: Eve Storage', u'Fencing: Rear Only', u'Attic: Floored', u'Construction: Siding-Aluminum', u'MiscSearch1: Remodeled', u'Tile back splash', u'MiscSearch2: USDA eligible', u'Style: Farmhouse', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,150 sqft', u'Heating: Electric', u'Last remodel year: 1960', u'Laundry: Shared', u'Lot depth: 150 ft', u'Lot width: 83 ft', u'Parcel #: 007965', u'Zillow Home ID: 51418039']	http://photos3.zillowstatic.com/p_e/ISt8uh2yssh6ay0000000000.jpg	138000.0	[]	2150.0	NC	82897.0	27829	51418039
1.0	2	Fountain	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 1950', u'206 days on Zillow', u'Views since listing: 274', u'All time views: 719', u'3 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump, Stove', u'Last sold: Oct 2014 for $19,000', u'Last sale price/sqft: $23', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Detached, Off street, 3 spaces, 800 sqft garage', u'Porch', u'RV Parking', u'Storage', u'View: City, Park, Territorial', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Laundry room', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 834 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1980', u'Laundry: In Unit', u'Lot depth: 150 ft', u'Lot width: 50 ft', u'Parcel #: 025580', u'Zillow Home ID: 51432412']	http://photos1.zillowstatic.com/p_e/ISdo7y2w2rpokj0000000000.jpg	19000.0	[]	834.0	NC	52565.0	27829	51432412
1.0	2	Fountain	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1975', u'All time views: 238', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2014 for $79,900', u'Last sale price/sqft: $69', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Wired', u'Gas Space heater.', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,161 sqft', u'Heating: Propane butane', u'Last remodel year: 2012', u'Zillow Home ID: 2128990521']	http://photos2.zillowstatic.com/p_e/ISts19g3tfdcjs0000000000.jpg	79900.0	[]	1161.0	NC	65162.0	27829	2128990521
2.0	3	Fountain	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 1940', u'All time views: 572', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $35,000', u'Last sale price/sqft: $20', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport, Garage - Attached', u'Dining room', u'Family room', u'Exterior material: Other', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,722 sqft', u'Last remodel year: 1955', u'Lot depth: 150 ft', u'Lot width: 50 ft', u'Parcel #: 006245', u'Zillow Home ID: 51416732']	http://photos3.zillowstatic.com/p_e/ISxf6v7l7qrym00000000000.jpg	35000.0	[]	1722.0	NC	73801.0	27829	51416732
1.0	3	Fountain	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1915', u'206 days on Zillow', u'Views since listing: 439', u'All time views: 899', u'3 shoppers saved this home', u'Cooling: Central', u'Heating: Other', u'Last sold: Sep 2013 for $26,000', u'Last sale price/sqft: $22', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Detached, Off street, 1 space, 450 sqft garage', u'Patio', u'Porch', u'RV Parking', u'View: City, Territorial', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Workshop', u'Exterior material: Shingle, Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 1', u'Structure type: Craftsman', u'Unit count: 1', u'Floor size: 1,180 sqft', u'Heating: Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit', u'Lot depth: 222 ft', u'Lot width: 90 ft', u'Parcel #: 018809', u'Zillow Home ID: 51426920']	http://photos1.zillowstatic.com/p_e/ISlyk501ynh04n1000000000.jpg	26000.0	[]	1180.0	NC	72072.0	27829	51426920
4.5	4	Fountain	[u'Baths: 4 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1965', u'All time views: 4,706', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $235,000', u'Last sale price/sqft: $49', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached, 2 spaces, 576 sqft garage', u'Patio', u'Porch', u'Security System', u'Gas Logs', u'1st Floor Master', u'Construction Type: Stick Built', u'Basement: None', u'Storm Doors', u'Fencing: None', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Fuel Tank: Propane Above Ground', u'Heating System: Electric', u'Parking: Paved', u'Road Type: St)', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Appliances: Vent Hood', u'Rooms: Master Bedroom', u'Construction: Stone', u'Shades', u'Rooms: Bedroom 4', u'Laundry Location: Room', u'Attic: Floored - Partial', u'HOA Amenities: No Amenities', u'Appliances: Cooktop - Electric', u'Basement: Finished - Partial', u'Solid Surface', u'Walk-In Closet', u'Roof: Architectural Shingle', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Dining room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 4,778 sqft', u'Heating: Gas', u'Last remodel year: 1975', u'Parcel #: 017417', u'Zillow Home ID: 51425815']	http://photos2.zillowstatic.com/p_e/ISdciuxxega5qj0000000000.jpg	235000.0	[]	4778.0	NC	253734.0	27829	51425815
1.5	2	Fountain	[u'Baths: 1 full, 1 half', u'Lot: 0.42 acres', u'Single Family', u'Built in 1961', u'All time views: 694', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $70,000', u'Last sale price/sqft: $42', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport, 462 sqft garage', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Storm Doors', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Fuel Tank: Propane Above Ground', u'Road Type: Maintained', u'Road Type: St)', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Great Room', u'Rooms: Kitchen', u'Appliances: Vent Hood', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Construction: Stone', u'Storm Windows', u'None', u'Walk-in Shower', u'Laundry Location: Room', u'Gas Logs', u'Attic: Floored - Partial', u'Porch: None', u'HOA Amenities: No Amenities', u'Rooms: Other Room', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,651 sqft', u'Heating: Gas', u'Last remodel year: 1971', u'Laundry: In Unit', u'Lot depth: 143 ft', u'Lot width: 125 ft', u'Parcel #: 011986', u'Zillow Home ID: 51421333']	http://photos2.zillowstatic.com/p_e/ISd48ldt6djobj0000000000.jpg	70000.0	[]	1651.0	NC	75973.0	27829	51421333
2.5	3	Fountain	[u'Baths: 2 full, 1 half', u'Lot: 0.7 acres', u'Single Family', u'Built in 1953', u'All time views: 1,784', u'Cooling: Central', u'Heating: Other', u'Last sold: Dec 2015 for $135,000', u'Last sale price/sqft: $51', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Attached, 2 spaces, 546 sqft garage', u'Patio', u'Porch', u'BasementAndFoundation: Crawl Space', u'Fencing: None', u'HoaAmenities: None', u'Gas logs', u'MiscSearch1: Bedroom 1st Floor', u'Type: Site Built', u'WindowsAndDoors: Storm Windows', u'WindowsAndDoors: Thermal Doors', u'Master Bedrm 1st Floor', u'Style: Traditional', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch2: .5-1 Acres', u'WindowsAndDoors: Storm Doors', u'Construction: Brick Veneer', u'Attic: Floored', u'Attic: Pull Down Stairs', u'MiscSearch1: Sunroom', u'MiscSearch1: Library', u'Appliances: Hood', u'DiningAndLiving: Formal Living', u'Roof: Architectural', u'Disclosures: Above Ground Tank', u'Tile shower', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Cement concrete', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,668 sqft', u'Heating: Gas, Other', u'Last remodel year: 1965', u'Laundry: Shared', u'Lot depth: 300 ft', u'Lot width: 100 ft', u'Parcel #: 008153', u'Zillow Home ID: 51418191']	http://photos1.zillowstatic.com/p_e/ISxncphgsjnjzr0000000000.jpg	135000.0	[]	2668.0	NC	139008.0	27829	51418191
3.5	4	Fountain	[u'Baths: 3 full, 1 half', u'Lot: 12.92 acres', u'Single Family', u'Built in 2009', u'87 days on Zillow', u'Views since listing: 109', u'All time views: 1,257', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2015 for $307,000', u'Last sale price/sqft: $119', u'MLS #: 50117838', u'View Virtual Tour', u'Deck', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Parking: Carport, 2 spaces', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Rooms: Living Room', u'Fuel Tank: Propane Above Ground', u'Tankless Water Heater', u'Heating System: Electric', u'Thermal Doors', u'Road Type: Private', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Appliances: Vent Hood', u'Rooms: Master Bedroom', u'Water: Septic On Site', u'Appliances: See Remarks', u'Laundry Location: Hookup - Washer', u'Road Type: Unpaved', u'Ceiling - Trey', u'Foundation: Raised Slab', u'Dry Connect', u'Laundry Location: Room', u'Appliances: Cooktop - Gas', u'Fencing: Ornamental', u'Water Heater: Tankless', u'Appliances: Convection Oven', u'Lot Description: Wooded', u'Attic: Walk-In', u'HOA Amenities: No Amenities', u'Rooms: Other Room', u'Solid Surface', u'Walk-In Closet', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,585 sqft', u'Heating: Electric', u'Parcel #: 3780-70-1334.000', u'Zillow Home ID: 107095872']	http://photos3.zillowstatic.com/p_e/IShntd25bqhj4c1000000000.jpg	307000.0	[]	2585.0	NC	256003.0	27829	107095872
2.0	4	Fountain	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,572', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Aug 2015 for $160,000', u'Last sale price/sqft: $71', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Detached, None', u'Appliances: Dishwasher', u'Appliances: Oven Electric', u'BasementAndFoundation: Crawl Space', u'Construction: Siding-Vinyl', u'Cooling: Central', u'Fencing: None', u'Flooring: Carpet', u'Flooring: Vinyl', u'HeatingSystem: Heat Pump', u'HoaAmenities: None', u'Home Owners Association Y: No', u'Ceiling Fans', u'MiscSearch1: Bedroom 1st Floor', u'New Construction Y: No', u'Property Type: Single Family', u'Roof: Composition Shingle', u'Style: Ranch', u'WaterAndSewer: Community Water System', u'WaterAndSewer: Septic Tank', u'WindowsAndDoors: Thermal Doors', u'Disclosures: None Known', u'Flooring: Ceramic Tile', u'HeatingFuel: Electric', u'Master Bedrm 1st Floor', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'DiningAndLiving: Den', u'None', u'MiscSearch2: .5-1 Acres', u'Porch: Front', u'DiningAndLiving: Breakfast Nook', u'MiscSearch1: Bonus-Finished', u'HeatingSystem: Fireplace', u'Attic: None', u'GarageAndCarport: Double Detached Garage', u'or Dryer Hook Up', u'MiscSearch1: Media Room', u'DiningAndLiving: Formal Living', u'Work Island', u'Tile back splash', u'Porch: Side', u'Type: Modular', u'Porch: Covered', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,240 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Parcel #: 471178299900', u'Zillow Home ID: 79886233']	http://photos1.zillowstatic.com/p_e/ISd4olgkvflb4d0000000000.jpg	160000.0	[]	2240.0	NC	149011.0	27829	79886233
2.0	4	Fountain	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1940', u'All time views: 1,610', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2015 for $138,000', u'Last sale price/sqft: $64', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Detached, 2 spaces', u'Patio', u'Porch', u'BasementAndFoundation: Crawl Space', u'Construction: Siding-Vinyl', u'Disclosures: Lead Paint', u'HoaAmenities: None', u'Gas logs', u'MiscSearch1: Bedroom 1st Floor', u'Type: Site Built', u'WindowsAndDoors: Thermal Doors', u'Attic: Walk In Storage', u'Master Bedrm 1st Floor', u'MiscSearch2: Less than .5 acres', u'Style: Traditional', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'Attic: Access Only', u'DiningAndLiving: Formal Dining', u'Attic: Eve Storage', u'Fencing: Rear Only', u'Attic: Floored', u'Construction: Siding-Aluminum', u'MiscSearch1: Remodeled', u'Tile back splash', u'MiscSearch2: USDA eligible', u'Style: Farmhouse', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,150 sqft', u'Heating: Electric', u'Last remodel year: 1960', u'Laundry: Shared', u'Lot depth: 150 ft', u'Lot width: 83 ft', u'Parcel #: 007965', u'Zillow Home ID: 51418039']	http://photos3.zillowstatic.com/p_e/ISt8uh2yssh6ay0000000000.jpg	138000.0	[]	2150.0	NC	82897.0	27829	51418039
