baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Blairsden	[u'Lot: 9,583 sqft', u'Single Family', u'Built in 1992', u'All time views: 3,398', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $295,000', u'Last sale price/sqft: $170', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Vaulted Ceiling', u'View: Mountain', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FIREPLACE: Woodstove', u'HEATING: Woodstove', u'INSULATION: Original', u'OCCUPANT: Other', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'UTILITIES: Water Community', u'BATH: Shower Stall', u'INTERIOR FEATURES: Master Bath', u'BATH: Garden Tub', u'WATER HEATER: Propane', u'PROPERTY DESCRIPTION: Cul-de-sac', u'FOUNDATION: Slab', u'EXTERIOR SIDING: Hardboard', u'OTHER ROOMS: Great Room', u'LANDSCAPING: Landscape Front & Rear', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'View: Greenbelt', u'OTHER ROOMS: Study', u'EXTERIOR FEATURES: Full', u'PROPERTY DESCRIPTION: Green Belt', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: 9ft+ Ceilings', u'INTERIOR FEATURES: Newly Decorated <1Yr', u'EXTERIOR FEATURES: Rain Gutters', u'UTILITIES: Utilities Underground', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Walk-in closet', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,734 sqft', u'Heating: Gas', u'Parcel #: 129181030000', u'Unit floor #: 1', u'Zillow Home ID: 52928739']	http://photos2.zillowstatic.com/p_e/ISh719722vh02a1000000000.jpg	295000.0	[]	1734.0	CA	292530.0	96103	52928739
2.5	4	Graeagle	[u'Baths: 2 full, 1 half', u'Lot: 0.34 acres', u'Single Family', u'Built in 1972', u'All time views: 2,261', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Mar 2016 for $215,000', u'Last sale price/sqft: $144', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 576 sqft garage', u'Porch', u'Vaulted Ceiling', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FIREPLACE: Woodstove', u'FOUNDATION: Perimeter', u'HEATING: Woodstove', u'INSULATION: Original', u'OCCUPANT: Other', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Stories: 2', u'CONSTRUCTION: Wood', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Pantry', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'BATH: Shower Stall', u'TREES: Large Trees', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'LANDSCAPING: Fenced None', u'View: Scenic', u'APPLIANCES: Electric Oven', u'DRIVEWAY: Gravel', u'Appx. Year Built Source: Other', u'INTERIOR FEATURES: Electric Stove Connection', u'EXTERIOR FEATURES: Private Yard', u'TREES: Pine', u'FOUNDATION: Poured Concrete', u'DRIVEWAY: Asphalt', u'INTERIOR FEATURES: Some Window Treatments', u'HEATING: Free Standing Oil', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: Open Beam Ceilings', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Outdoor Lighting', u'HEATING: Electric', u'EXTERIOR FEATURES: Rain Gutters', u'OTHER ROOMS: Foyer', u'EQUIPMENT: CO Detector', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 2', u'Floor size: 1,488 sqft', u'Heating: Oil', u'Laundry: In Unit', u'Parcel #: 130191002000', u'Zillow Home ID: 112415257']	http://photos1.zillowstatic.com/p_e/ISd0dad4uoj3tp0000000000.jpg	215000.0	[]	1488.0	CA	235945.0	96103	112415257
2.0	2	Blairsden	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1979', u'All time views: 1,864', u'Cooling: Central', u'Heating: Other', u'Last sold: Feb 2016 for $169,000', u'Last sale price/sqft: $107', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Parking: 506 sqft garage', u'Vaulted Ceiling', u'Wet Bar', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FIREPLACE: Woodstove', u'FOUNDATION: Perimeter', u'HEATING: Woodstove', u'INSULATION: Original', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'UTILITIES: Water Community', u'INTERIOR FEATURES: Master Bath', u'TREES: Large Trees', u'LANDSCAPING: Fenced Partial', u'EXTERIOR FEATURES: Outbuilding', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'View: Scenic', u'APPLIANCES: Electric Oven', u'APPLIANCES: Wall Oven', u'OCCUPANT: Owner Occasionally', u'OTHER ROOMS: Family Room', u'EXTERIOR FEATURES: Private Yard', u'TREES: Pine', u'FOUNDATION: Poured Concrete', u'DRIVEWAY: Asphalt', u'HEATING: Free Standing Oil', u'INTERIOR FEATURES: All Window Treatments', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: Open Beam Ceilings', u'INTERIOR FEATURES: 9ft+ Ceilings', u'EXTERIOR FEATURES: Run', u'EXTERIOR FEATURES: Outside Lighting', u'FENCE: Split Rail', u'UTILITIES: Utilities Underground', u'OTHER ROOMS: Foyer', u'Floor size: 1,576 sqft', u'Heating: Oil', u'Parcel #: 129053018000', u'Zillow Home ID: 111715047']	http://photos1.zillowstatic.com/p_e/IS1r1qqqfigtrd0000000000.jpg	169000.0	[]	1576.0	CA	183621.0	96103	111715047
2.5	4	Blairsden	[u'Baths: 2 full, 1 half', u'Lot: 0.72 acres', u'Single Family', u'Built in 1996', u'All time views: 1,268', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $360,000', u'Last sale price/sqft: $135', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'High Speed Internet Ready', u'Hot Tub/Spa', u'Parking: 832 sqft garage', u'Skylight', u'Sprinkler System', u'Vaulted Ceiling', u'Stories: 1', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FIREPLACE: Woodstove', u'FOUNDATION: Perimeter', u'HEATING: Woodstove', u'INSULATION: Original', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Pantry', u'TREES: Mixed', u'UTILITIES: Water Community', u'INTERIOR FEATURES: Master Bath', u'EXTERIOR FEATURES: Outbuilding', u'PROPERTY DESCRIPTION: Wooded', u'DRIVEWAY: Concrete', u'View: Scenic', u'OTHER ROOMS: Hobby', u'WATER HEATER: Propane', u'OCCUPANT: Owner Occasionally', u'OTHER ROOMS: Family Room', u'PROPERTY DESCRIPTION: Cul-de-sac', u'BATH: Shower Only', u'EXTERIOR FEATURES: Private Yard', u'EXTERIOR SIDING: Hardboard', u'TREES: Pine', u'FOUNDATION: Poured Concrete', u'LANDSCAPING: Landscape Front & Rear', u'EXTERIOR FEATURES: Landscaped', u'LANDSCAPING: Sprinkler Timed', u'INTERIOR FEATURES: Gas Dryer Hook Ups', u'OTHER ROOMS: Study', u'EXTERIOR FEATURES: Full', u'INTERIOR FEATURES: All Window Treatments', u'OTHER ROOMS: Computer Room', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: 9ft+ Ceilings', u'EXTERIOR FEATURES: Outside Lighting', u'PROPERTY DESCRIPTION: No Outlet Street', u'LANDSCAPING: Outdoor Lighting', u'EXTERIOR FEATURES: Rain Gutters', u'UTILITIES: Utilities Underground', u'LANDSCAPING: Sprinkler Front & Rear', u'EQUIPMENT: CO Detector', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,672 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 123330024000', u'Zillow Home ID: 83364895']	http://photos2.zillowstatic.com/p_e/IStc12erbnz47e0000000000.jpg	360000.0	[]	2672.0	CA	407431.0	96103	83364895
2.0	3	Graeagle	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1977', u'All time views: 2,659', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $330,000', u'Last sale price/sqft: $131', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Hot Tub/Spa', u'Parking: 1 space, 440 sqft garage', u'Porch', u'Skylight', u'Sprinkler System', u'Vaulted Ceiling', u'Wet Bar', u'Stories: 1', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'OCCUPANT: Other', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'Basement: Crawl Space', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'BATH: Shower Stall', u'INTERIOR FEATURES: Master Bath', u'WATERFRONT: None', u'EXTERIOR FEATURES: Outbuilding', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'View: Scenic', u'INTERIOR FEATURES: Electric Stove Connection', u'EXTERIOR FEATURES: Private Yard', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'LANDSCAPING: Landscape Front & Rear', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'TOPOGRAPHY: Up slope', u'HEATING: Free Standing Oil', u'BATH: Tub Without Shower', u'EXTERIOR FEATURES: Full', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: Open Beam Ceilings', u'INTERIOR FEATURES: 9ft+ Ceilings', u'EXTERIOR FEATURES: Rain Gutters', u'LANDSCAPING: Sprinkler Front & Rear', u'HOA - COMMUNITY AMENITIES: CC&Rs', u'HOA - COMMUNITY AMENITIES: Golf Course', u'HOA - COMMUNITY AMENITIES: Tennis Courts', u'HOA - COMMUNITY AMENITIES: Fire Protection', u'HOA - COMMUNITY AMENITIES: Association Optional', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,514 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 130133003000', u'Zillow Home ID: 52928798']	http://photos2.zillowstatic.com/p_e/IStcdfswzjdg7e0000000000.jpg	330000.0	[]	2514.0	CA	326176.0	96103	52928798
3.0	3	Blairsden	[u'Lot: 6,969 sqft', u'Single Family', u'Built in 1993', u'All time views: 865', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $255,000', u'Last sale price/sqft: $147', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate', u'Sprinkler System', u'Stories: 1', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'OTHER ROOMS: Living Room', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'Appx. Year Built Source: Assessor', u'Basement: Crawl Space', u'BASEMENT: Crawl Space', u'COOLING: Electric', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Kitchen', u'UTILITIES: Water Community', u'BATH: Shower Stall', u'FIREPLACE: None', u'INTERIOR FEATURES: Master Bath', u'BATH: Garden Tub', u'View: Scenic', u'APPLIANCES: Electric Oven', u'WATER HEATER: Propane', u'PROPERTY DESCRIPTION: Cul-de-sac', u'EXTERIOR SIDING: Hardboard', u'INTERIOR FEATURES: Icemaker Connection', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'OCCUPANT: Owner', u'INTERIOR FEATURES: All Window Treatments', u'LANDSCAPING: Landscape Front', u'EQUIPMENT: Garage Door Opener', u'LANDSCAPING: Sprinkler Front', u'HEATING: Electric', u'INTERIOR FEATURES: Newly Decorated <1Yr', u'UTILITIES: Utilities Underground', u'EQUIPMENT: CO Detector', u'HOA - COMMUNITY AMENITIES: Association Required', u'HOA - COMMUNITY AMENITIES: CC&Rs', u'HOA - COMMUNITY AMENITIES: Dues', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,734 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 129181041000', u'Zillow Home ID: 112419924']	http://photos2.zillowstatic.com/p_e/ISplpn81v0g3fx1000000000.jpg	255000.0	[]	1734.0	CA	259097.0	96103	112419924
2.0	3	Blairsden-graeagle	[u'Lot: 0.32 acres', u'Single Family', u'Built in 1978', u'All time views: 408', u'Cooling: None', u'Last sold: Jun 2016 for $223,000', u'Last sale price/sqft: $148', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: 400 sqft garage', u'Stories: 1', u'Frontage: Street', u'View: Neighborhood', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FIREPLACE: Woodstove', u'FOUNDATION: Perimeter', u'HEATING: Woodstove', u'INSULATION: Original', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'UTILITIES: Phone Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'Basement: Crawl Space', u'BASEMENT: Crawl Space', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'TREES: Mixed', u'BATH: Shower Stall', u'TREES: Large Trees', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'OCCUPANT: Tenant', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'INTERIOR FEATURES: Some Window Treatments', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'HEATING: Electric', u'POSSESSION: Other', u'LA1Agent Phone1 CountryId: United States (+1)', u'Range / Oven', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,504 sqft', u'Parcel #: 130267004000', u'Zillow Home ID: 52928904']	http://photos1.zillowstatic.com/p_e/ISx3xjjfcgyq6j1000000000.jpg	223000.0	[]	1504.0	CA	218039.0	96103	52928904
2.0	2	Johnsville	[u'Lot: 0.37 acres', u'Single Family', u'Built in 2009', u'All time views: 4,749', u'Heating: Geothermal, Other, Radiant, Stove', u'Last sold: Jun 2016 for $355,000', u'Last sale price/sqft: $142', u'Barbecue', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 1 space', u'Porch', u'Skylight', u'Vaulted Ceiling', u'View: Mountain, Territorial', u'Area Description: Mountain', u'Views: Scenic', u'Age: 1-5 Years Old', u'Lot Size: 2 Acre', u'Lot Description: Level', u'Kitchen Granite Countertops', u'Area Amenities: Golf', u'Area Amenities: Outdoor Activities', u'Kitchen Designer Kitchen', u'Area Amenities: Biking', u'General: Energy-saving Features', u'General: Laundry Facilities', u'Area Amenities: Biking Path', u'Heating Type: Multi-Zone Heat', u'Area Amenities: Stables', u'Area Amenities: Area Fishing', u'Bath Tub Only', u'Body of Water: River', u'Area Description: Cycling', u'Bath Stall Shower', u'General: Smoke Detector', u'Basement: Crawl Space', u'Sewer: Septic', u'Area Amenities: Area Hiking', u'Fencing: Partially Fenced', u'Area Description: Fishing', u'Area Amenities: Area Snowmobiling', u'Views: Lake & Stream', u'Lot Description: Access Type - Road', u'Interior: Exercise Area', u'Location: Riverfront', u'Special Market: Second Home', u'Fencing: Metal Fence', u'Pre-Wiring: Entertainment System', u'Area Description: Privacy', u'Garage Count: 1 Car Garage', u'Area Amenities: Area Climbing', u'Lot Description: Wooded', u'Location: Slope Side', u'Fireplace Description: Wood Burning Stove', u'Lot Description: Irregular', u'Heating - Fuel Type: Wood', u'Rooms: Artist Studio', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,500 sqft', u'Heating: Electric, Other, Solar, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 006014007000', u'Zillow Home ID: 98377026']	http://photos3.zillowstatic.com/p_e/IS52lzocqvy1zl1000000000.jpg	355000.0	[]	2500.0	CA	328722.0	96103	98377026
2.0	3	Blairsden	[u'Lot: 0.31 acres', u'Single Family', u'Built in 2004', u'All time views: 386', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $430,000', u'Last sale price/sqft: $189', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Porch', u'Sauna', u'Skylight', u'Sprinkler System', u'View: Mountain', u'Stories: 1', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Sewer Public', u'UTILITIES: Electric Yes', u'INTERIOR FEATURES: Washer Hook Ups', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Pantry', u'OTHER ROOMS: Kitchen', u'UTILITIES: Water Community', u'INTERIOR FEATURES: Master Bath', u'PROPERTY DESCRIPTION: Corner', u'INTERIOR FEATURES: Electric Stove Connection', u'WATER HEATER: Propane', u'OCCUPANT: Owner Occasionally', u'Appx. Year Built Source: Owner', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'EXTERIOR FEATURES: Landscaped', u'EXTERIOR FEATURES: Partial', u'INSULATION: Upgrade', u'BATH: Tub Without Shower', u'INTERIOR FEATURES: All Window Treatments', u'LANDSCAPING: Landscape Front', u'EQUIPMENT: Garage Door Opener', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Landscape Rear', u'LANDSCAPING: Outdoor Lighting', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,280 sqft', u'Heating: Gas', u'Parcel #: 123320017000', u'Zillow Home ID: 112420245']	http://photos2.zillowstatic.com/p_e/IS5ilm3p82gji10000000000.jpg	430000.0	[]	2280.0	CA	337236.0	96103	112420245
2.0	3	Graeagle	[u'Lot: 0.3 acres', u'Single Family', u'Built in 1992', u'All time views: 1,616', u'Last sold: Jun 2016 for $271,500', u'Last sale price/sqft: $175', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 484 sqft garage', u'Skylight', u'Vaulted Ceiling', u'Wired', u'Stories: 1', u'Basement: None', u'Frontage: Street', u'Sale: For Sale', u'ACCESS: Paved', u'ATTIC: Crawl Space only', u'BASEMENT: None', u'BATH: Tub', u'CONSTRUCTION: Frame', u'FENCE: Partial', u'FOUNDATION: Perimeter', u'INSULATION: Original', u'POSSESSION: Close of Escrow', u'PROPERTY DESCRIPTION: Residential Neighborhood', u'TOPOGRAPHY: Level', u'UTILITIES: Electric Yes', u'WATER HEATER: Electric', u'Appx. Year Built Source: Assessor', u'INTERIOR FEATURES: Washer Hook Ups', u'INTERIOR FEATURES: Electric Dryer Hookup', u'OTHER ROOMS: Utility Room', u'OTHER ROOMS: Pantry', u'OTHER ROOMS: Kitchen', u'TREES: Mixed', u'BATH: Shower Stall', u'INTERIOR FEATURES: Master Bath', u'LANDSCAPING: Landscape None', u'TREES: Large Trees', u'WATER HEATER: Other', u'FENCE: Wood', u'LANDSCAPING: Fenced Partial', u'EXTERIOR FEATURES: Outbuilding', u'PROPERTY DESCRIPTION: Wooded', u'UTILITIES: Sewer Septic', u'UTILITIES: Phone Available', u'APPLIANCES: Electric Oven', u'INTERIOR FEATURES: Electric Stove Connection', u'OCCUPANT: Owner Occasionally', u'EXTERIOR FEATURES: Private Yard', u'TREES: Pine', u'INTERIOR FEATURES: Icemaker Connection', u'FOUNDATION: Poured Concrete', u'OTHER ROOMS: Great Room', u'DRIVEWAY: Asphalt', u'View: Greenbelt', u'HEATING: Pellet Stove', u'INTERIOR FEATURES: All Window Treatments', u'PROPERTY DESCRIPTION: Green Belt', u'UTILITIES: Water Private Co', u'EQUIPMENT: Garage Door Opener', u'INTERIOR FEATURES: 9ft+ Ceilings', u'EXTERIOR FEATURES: Run', u'EXTERIOR FEATURES: Outside Lighting', u'LANDSCAPING: Sprinkler Front', u'FIREPLACE: Other', u'LANDSCAPING: Outdoor Lighting', u'EXTERIOR FEATURES: Rain Gutters', u'OTHER ROOMS: Foyer', u'EQUIPMENT: CO Detector', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Floor size: 1,550 sqft', u'Laundry: In Unit', u'Parcel #: 130321005000', u'Zillow Home ID: 112401505']	http://photos2.zillowstatic.com/p_e/IS1fcie069hecq1000000000.jpg	271500.0	[]	1550.0	CA	273326.0	96103	112401505
