baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Julian	[u'Lot: 112 acres', u'Single Family', u'Built in 1989', u'All time views: 1,777', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $117,000', u'Last sale price/sqft: $104', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Dishwasher', u'Range / Oven', u'Family room', u'Pantry', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,123 sqft', u'Heating: Electric', u'Last remodel year: 1993', u'Parcel #: 0110787', u'Zillow Home ID: 5975511']	http://photos3.zillowstatic.com/p_e/IStomq0q6uev101000000000.jpg	117000.0	[]	1123.0	NC	116074.0	27283	5975511
2.0	3	Julian	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1977', u'All time views: 3,419', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $140,500', u'Last sale price/sqft: $91', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Off street', u'Storage', u'Living room', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Workshop', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,550 sqft', u'Last remodel year: 1981', u'Lot depth: 233 ft', u'Lot width: 145 ft', u'Parcel #: 0110988', u'Zillow Home ID: 5975672']	http://photos1.zillowstatic.com/p_e/ISphek3dk0xdf40000000000.jpg	140500.0	[]	1550.0	NC	123612.0	27283	5975672
2.5	4	Julian	[u'Lot: 1.71 acres', u'Single Family', u'Built in 1997', u'All time views: 6,835', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $188,500', u'Last sale price/sqft: $93', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 676 sqft garage', u'Dishwasher', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,021 sqft', u'Heating: Propane butane', u'Last remodel year: 1997', u'Parcel #: 0110820', u'Zillow Home ID: 5975536']	http://photos3.zillowstatic.com/p_e/ISlq26iqbcd1za1000000000.jpg	188500.0	[]	2021.0	NC	179519.0	27283	5975536
2.5	4	Julian	[u'Lot: 5.05 acres', u'Single Family', u'Built in 2000', u'All time views: 3,196', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $92,000', u'Last sale price/sqft: $46', u'Deck', u'Garden', u'Lawn', u'Parking: None', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,016 sqft', u'Heating: Electric', u'Last remodel year: 2000', u'Parcel #: 0124007', u'Zillow Home ID: 59960257']	http://photos3.zillowstatic.com/p_e/ISx7o73pubbg2f1000000000.jpg	92000.0	[]	2016.0	NC	116650.0	27283	59960257
3.0	4	Julian	[u'Lot: 2.75 acres', u'Single Family', u'Built in 1975', u'All time views: 6,225', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $159,000', u'Last sale price/sqft: $67', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Porch', u'RV Parking', u'Skylight', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Sewer: Septic', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Lot Description: Partially Wooded', u'Cooling: Attic Fan', u'Cooling: Window Unit(s)', u'Lot Description: Partially Cleared', u'Lot Description: Cul De Sac', u'Elementary School: Nathanael Greene', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Modern', u'Unit count: 1', u'Floor size: 2,388 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Laundry: In Unit', u'Parcel #: 0123973', u'Zillow Home ID: 5984770']	http://photos2.zillowstatic.com/p_e/ISdk45fez9rtj91000000000.jpg	159000.0	[]	2388.0	NC	179039.0	27283	5984770
2.5	3	Julian	[u'Lot: 1 acre', u'Single Family', u'Built in 1997', u'All time views: 354', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $195,000', u'Last sale price/sqft: $86', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Lawn', u'Parking: Garage - Attached, 484 sqft garage', u'Patio', u'Pool', u'Porch', u'Storage', u'Dishwasher', u'Master bath', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,268 sqft', u'Last remodel year: 1997', u'Parcel #: 0110765', u'Zillow Home ID: 5975501']	http://photos3.zillowstatic.com/p_e/ISlu5352h59ws80000000000.jpg	195000.0	[]	2268.0	NC	199818.0	27283	5975501
1.5	3	Julian	[u'Baths: 1 full, 1 half', u'Lot: 0.93 acres', u'Single Family', u'Built in 1989', u'All time views: 2,440', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $109,900', u'Last sale price/sqft: $106', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic Description: Access Only', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Garage Description: None', u'List Type: Exclusive Right to Sell', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Style: Ranch', u'Association: Asheboro Randolph', u'Sewer: Private', u'Built Information: Estimated', u'Elementary School: Nathanael Greene', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,032 sqft', u'Heating: Electric', u'Last remodel year: 1991', u'Parcel #: 0123086', u'Zillow Home ID: 5984101']	http://photos1.zillowstatic.com/p_e/ISphaltqvgajee0000000000.jpg	109900.0	[]	1032.0	NC	108330.0	27283	5984101
2.0	3	Julian	[u'Lot: 1.05 acres', u'Single Family', u'Built in 1972', u'All time views: 1,747', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $121,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Carport, Garage - Attached', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Dog Run', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Elementary School: Nathanael Greene', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,207 sqft', u'Heating: Gas, Propane butane', u'Last remodel year: 1977', u'Parcel #: 0125067', u'Zillow Home ID: 5985635']	http://photos2.zillowstatic.com/p_e/IShzui43utbiqa0000000000.jpg	121000.0	[]	1207.0	NC	119478.0	27283	5985635
2.0	3	Julian	[u'Lot: 2.12 acres', u'Single Family', u'Built in 1985', u'All time views: 4,275', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $233,600', u'Last sale price/sqft: $94', u'1907 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport, 2 spaces', u'Pool', u'Porch', u'Security System', u'Unfinished basement', u'Wired', u'Dishwasher', u'Breakfast nook', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,482 sqft', u'Heating: Electric', u'Last remodel year: 2003', u'Parcel #: 0122688', u'Zillow Home ID: 5983752']	http://photos2.zillowstatic.com/p_e/IS1bt09g08wxk71000000000.jpg	233600.0	[]	2482.0	NC	231714.0	27283	5983752
2.0	3	Julian	[u'Lot: 1.44 acres', u'Single Family', u'Built in 1988', u'All time views: 847', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $158,000', u'Last sale price/sqft: $108', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 460 sqft garage', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Style: Ranch', u'Lot Description: Partially Wooded', u'Elementary School: Nathanael Greene', u'Property Sub Type: Site Built', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,460 sqft', u'Heating: Electric', u'Last remodel year: 1993', u'Parcel #: 0110763', u'Zillow Home ID: 5975499']	http://photos1.zillowstatic.com/p_e/ISpl5872sn4apq1000000000.jpg	158000.0	[]	1460.0	NC	155575.0	27283	5975499
2.0	3	Julian	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1997', u'All time views: 620', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $147,000', u'Last sale price/sqft: $101', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 506 sqft garage', u'Porch', u'Dishwasher', u'Range / Oven', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,457 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1997', u'Parcel #: 0110825', u'Zillow Home ID: 5975541']	http://photos3.zillowstatic.com/p_e/IS-qz24dpmkls2l.jpg	147000.0	[]	1457.0	NC	149337.0	27283	5975541
1.0	3	Julian	[u'Lot: 0.99 acres', u'Single Family', u'Built in 1988', u'All time views: 1,933', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $105,000', u'Last sale price/sqft: $103', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 1 space, 288 sqft garage', u'Breeze way from garage to house', u'.99 acre lot with trees', u'storage building in back yard', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Pantry', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,015 sqft', u'Heating: Electric', u'Last remodel year: 1993', u'Parcel #: 0110768', u'Zillow Home ID: 5975502']	http://photos2.zillowstatic.com/p_e/ISphy7fdhwny5e1000000000.jpg	105000.0	[]	1015.0	NC	113414.0	27283	5975502
2.0	3	Julian	[u'Lot: 112 acres', u'Single Family', u'Built in 1989', u'All time views: 1,778', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $117,000', u'Last sale price/sqft: $104', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Dishwasher', u'Range / Oven', u'Family room', u'Pantry', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,123 sqft', u'Heating: Electric', u'Last remodel year: 1993', u'Parcel #: 0110787', u'Zillow Home ID: 5975511']	http://photos3.zillowstatic.com/p_e/IStomq0q6uev101000000000.jpg	117000.0	[]	1123.0	NC	116074.0	27283	5975511
2.0	3	Julian	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1977', u'All time views: 3,420', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $140,500', u'Last sale price/sqft: $91', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Off street', u'Storage', u'Living room', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Workshop', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,550 sqft', u'Last remodel year: 1981', u'Lot depth: 233 ft', u'Lot width: 145 ft', u'Parcel #: 0110988', u'Zillow Home ID: 5975672']	http://photos1.zillowstatic.com/p_e/ISphek3dk0xdf40000000000.jpg	140500.0	[]	1550.0	NC	123612.0	27283	5975672
2.5	4	Julian	[u'Lot: 1.71 acres', u'Single Family', u'Built in 1997', u'All time views: 6,836', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $188,500', u'Last sale price/sqft: $93', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 676 sqft garage', u'Dishwasher', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,021 sqft', u'Heating: Propane butane', u'Last remodel year: 1997', u'Parcel #: 0110820', u'Zillow Home ID: 5975536']	http://photos3.zillowstatic.com/p_e/ISlq26iqbcd1za1000000000.jpg	188500.0	[]	2021.0	NC	179519.0	27283	5975536
2.5	4	Julian	[u'Lot: 5.05 acres', u'Single Family', u'Built in 2000', u'All time views: 3,197', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $92,000', u'Last sale price/sqft: $46', u'Deck', u'Garden', u'Lawn', u'Parking: None', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,016 sqft', u'Heating: Electric', u'Last remodel year: 2000', u'Parcel #: 0124007', u'Zillow Home ID: 59960257']	http://photos3.zillowstatic.com/p_e/ISx7o73pubbg2f1000000000.jpg	92000.0	[]	2016.0	NC	116650.0	27283	59960257
3.0	4	Julian	[u'Lot: 2.75 acres', u'Single Family', u'Built in 1975', u'All time views: 6,227', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $159,000', u'Last sale price/sqft: $67', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Porch', u'RV Parking', u'Skylight', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Sewer: Septic', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Lot Description: Partially Wooded', u'Cooling: Attic Fan', u'Cooling: Window Unit(s)', u'Lot Description: Partially Cleared', u'Lot Description: Cul De Sac', u'Elementary School: Nathanael Greene', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Modern', u'Unit count: 1', u'Floor size: 2,388 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Laundry: In Unit', u'Parcel #: 0123973', u'Zillow Home ID: 5984770']	http://photos2.zillowstatic.com/p_e/ISdk45fez9rtj91000000000.jpg	159000.0	[]	2388.0	NC	179039.0	27283	5984770
2.5	3	Julian	[u'Lot: 1 acre', u'Single Family', u'Built in 1997', u'All time views: 355', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $195,000', u'Last sale price/sqft: $86', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Lawn', u'Parking: Garage - Attached, 484 sqft garage', u'Patio', u'Pool', u'Porch', u'Storage', u'Dishwasher', u'Master bath', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,268 sqft', u'Last remodel year: 1997', u'Parcel #: 0110765', u'Zillow Home ID: 5975501']	http://photos3.zillowstatic.com/p_e/ISlu5352h59ws80000000000.jpg	195000.0	[]	2268.0	NC	199818.0	27283	5975501
1.5	3	Julian	[u'Baths: 1 full, 1 half', u'Lot: 0.93 acres', u'Single Family', u'Built in 1989', u'All time views: 2,441', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $109,900', u'Last sale price/sqft: $106', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic Description: Access Only', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Garage Description: None', u'List Type: Exclusive Right to Sell', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Style: Ranch', u'Association: Asheboro Randolph', u'Sewer: Private', u'Built Information: Estimated', u'Elementary School: Nathanael Greene', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,032 sqft', u'Heating: Electric', u'Last remodel year: 1991', u'Parcel #: 0123086', u'Zillow Home ID: 5984101']	http://photos1.zillowstatic.com/p_e/ISphaltqvgajee0000000000.jpg	109900.0	[]	1032.0	NC	108330.0	27283	5984101
2.0	3	Julian	[u'Lot: 1.05 acres', u'Single Family', u'Built in 1972', u'All time views: 1,748', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $121,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Carport, Garage - Attached', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Dog Run', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Elementary School: Nathanael Greene', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,207 sqft', u'Heating: Gas, Propane butane', u'Last remodel year: 1977', u'Parcel #: 0125067', u'Zillow Home ID: 5985635']	http://photos2.zillowstatic.com/p_e/IShzui43utbiqa0000000000.jpg	121000.0	[]	1207.0	NC	119478.0	27283	5985635
2.0	3	Julian	[u'Lot: 2.12 acres', u'Single Family', u'Built in 1985', u'All time views: 4,277', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $233,600', u'Last sale price/sqft: $94', u'1907 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport, 2 spaces', u'Pool', u'Porch', u'Security System', u'Unfinished basement', u'Wired', u'Dishwasher', u'Breakfast nook', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,482 sqft', u'Heating: Electric', u'Last remodel year: 2003', u'Parcel #: 0122688', u'Zillow Home ID: 5983752']	http://photos2.zillowstatic.com/p_e/IS1bt09g08wxk71000000000.jpg	233600.0	[]	2482.0	NC	231714.0	27283	5983752
